index,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
136014,2016-03-26 14:52:22,Passat_Variant_2.0_TDI_BlueMotion_Technology_Highline,privat,Angebot,10000,control,kombi,2013,manuell,140,passat,40000,6,diesel,volkswagen,nein,2016-03-26 00:00:00,0,10115,2016-03-26 14:52:22
155434,2016-03-21 12:37:50,Verkauf_meinen_Fiat_ducato,privat,Angebot,1400,control,bus,1996,manuell,69,ducato,150000,3,diesel,fiat,,2016-03-21 00:00:00,0,14478,2016-03-25 08:45:44
27243,2016-03-21 17:56:01,Vw_Kaefer.__1300._Zum_Restaurieren.,privat,Angebot,1999,control,kleinwagen,1971,,0,kaefer,125000,0,,volkswagen,,2016-03-21 00:00:00,0,94036,2016-03-24 07:18:30
60939,2016-04-03 14:06:22,Suche_X5_E53_3_0d,privat,Angebot,5000,control,,2005,,0,x_reihe,150000,0,,bmw,,2016-04-03 00:00:00,0,65599,2016-04-06 20:19:45
185473,2016-03-19 23:59:20,PEUGEOT_306_zuverkaufen.,privat,Angebot,400,control,limousine,2001,manuell,75,andere,150000,7,,peugeot,ja,2016-03-19 00:00:00,0,37242,2016-04-05 12:21:15
238405,2016-04-04 21:36:55,Citroën_C3_Picasso_VTi_95_Selection,privat,Angebot,12500,test,bus,2014,manuell,95,c3,20000,3,benzin,citroen,nein,2016-04-04 00:00:00,0,74927,2016-04-07 00:15:24
203356,2016-03-07 15:54:59,Mercedes_Benz_C_180,privat,Angebot,2800,control,limousine,2001,manuell,129,c_klasse,150000,3,benzin,mercedes_benz,nein,2016-03-07 00:00:00,0,4105,2016-04-05 12:16:19
306595,2016-03-27 14:51:55,Opel_Corsa_1.0_12V,privat,Angebot,800,control,kleinwagen,2001,manuell,58,corsa,150000,6,benzin,opel,nein,2016-03-27 00:00:00,0,25779,2016-04-07 11:45:09
58139,2016-03-26 12:50:37,BMW_525d_touring_Edition_Exclusive,privat,Angebot,5800,control,kombi,2003,manuell,163,5er,150000,3,diesel,bmw,nein,2016-03-26 00:00:00,0,86679,2016-03-31 07:46:03
321741,2016-03-12 20:49:52,Mercedes_Benz_CE_220,privat,Angebot,4000,test,coupe,1994,manuell,150,andere,150000,4,,mercedes_benz,nein,2016-03-12 00:00:00,0,45478,2016-03-18 01:16:26
209580,2016-03-11 10:48:04,Opel_Corsa_1.2_16V_Sport,privat,Angebot,1900,test,kleinwagen,2003,manuell,75,corsa,150000,8,benzin,opel,nein,2016-03-11 00:00:00,0,55276,2016-03-28 17:48:13
84819,2016-03-21 17:46:26,Ford_Escort,privat,Angebot,3300,control,limousine,1978,manuell,54,escort,70000,2,benzin,ford,nein,2016-03-21 00:00:00,0,63607,2016-04-04 16:17:47
169359,2016-04-01 17:06:26,Ford_Focus_Coupe_Cabriolet_2.0_16V_Aut.,privat,Angebot,12500,test,cabrio,2010,automatik,145,focus,80000,5,benzin,ford,nein,2016-04-01 00:00:00,0,65479,2016-04-07 12:44:37
260711,2016-03-07 16:36:16,Bmw_E38_750_V12,privat,Angebot,1050,control,limousine,1996,automatik,0,7er,150000,5,benzin,bmw,,2016-03-07 00:00:00,0,6766,2016-03-09 11:45:43
19018,2016-03-09 15:37:43,Ford_Mondeo_Turnier_1.8_Benzin,privat,Angebot,2999,control,,2017,manuell,125,mondeo,150000,11,,ford,nein,2016-03-09 00:00:00,0,78664,2016-03-23 01:17:49
8546,2016-03-31 18:36:56,Volkswagen_Golf_Plus_2.0_TDI_DPF_DSG_Life,privat,Angebot,15600,control,bus,2013,automatik,140,golf,40000,12,diesel,volkswagen,nein,2016-03-31 00:00:00,0,59069,2016-04-02 13:47:46
233702,2016-03-16 14:37:05,Ford_S_Max_Titanium__Garantie_bis_2018,privat,Angebot,30000,test,bus,2015,automatik,239,s_max,5000,8,benzin,ford,nein,2016-03-16 00:00:00,0,22301,2016-03-24 06:16:27
23504,2016-03-17 15:38:53,BMW_520d_Touring,privat,Angebot,7400,test,kombi,2007,manuell,150,5er,150000,1,diesel,bmw,nein,2016-03-17 00:00:00,0,66578,2016-03-17 15:38:53
269241,2016-03-28 20:39:50,Volkswagen_Golf_5_GTI,privat,Angebot,8300,control,coupe,2005,manuell,200,golf,150000,3,benzin,volkswagen,nein,2016-03-28 00:00:00,0,73557,2016-04-01 06:15:28
296134,2016-03-21 10:41:47,Subaru_Justy_mit_TÜV_bis_09/16_fahrbereit,privat,Angebot,250,test,,2016,manuell,85,justy,150000,0,,subaru,,2016-03-21 00:00:00,0,1705,2016-03-21 10:41:47
172464,2016-04-01 15:48:52,Seat_Arosa,privat,Angebot,800,test,kleinwagen,2001,manuell,0,,150000,0,benzin,seat,ja,2016-04-01 00:00:00,0,50171,2016-04-07 13:50:06
240504,2016-03-08 15:46:07,Fiat_Palio_Weekend_16V___guter_Zustand,privat,Angebot,600,test,kombi,1999,manuell,101,andere,100000,0,benzin,fiat,nein,2016-03-08 00:00:00,0,91522,2016-04-06 10:44:36
266408,2016-03-24 16:46:24,GOLF_1_CABRIO_WOLFSBURG_EDITION_SONDERMODELL_KARMANN,privat,Angebot,5850,control,cabrio,1994,manuell,92,golf,150000,1,benzin,volkswagen,nein,2016-02-09 00:00:00,0,22549,2016-04-06 04:44:21
79721,2016-03-19 17:25:41,Bmw_e_36_320_cabrio,privat,Angebot,2990,test,cabrio,1994,manuell,150,3er,150000,8,benzin,bmw,ja,2016-03-19 00:00:00,0,35586,2016-04-06 00:16:59
362101,2016-04-04 23:50:34,Sehr_schoenen_Renault_megane_abzugeben,privat,Angebot,1800,control,coupe,2003,manuell,113,megane,150000,0,benzin,renault,nein,2016-04-04 00:00:00,0,46537,2016-04-07 08:46:56
325584,2016-04-04 13:38:03,Porsche_911__997__Carrera_4_S_Cabrio_blau/blau/blau,privat,Angebot,49997,control,cabrio,2007,manuell,355,911,100000,1,benzin,porsche,nein,2016-04-04 00:00:00,0,86551,2016-04-06 14:45:05
318378,2016-03-06 01:56:48,Mercedes_Benz_C_180_T_Kompressor_Classic,privat,Angebot,5900,control,kombi,2006,manuell,143,c_klasse,150000,12,benzin,mercedes_benz,nein,2016-03-06 00:00:00,0,15757,2016-03-11 20:15:34
330370,2016-03-20 12:49:25,MINI_Cooper_S_Clubman,privat,Angebot,7995,test,kombi,2008,manuell,175,clubman,150000,6,benzin,mini,nein,2016-03-20 00:00:00,0,41564,2016-04-06 12:46:30
210914,2016-04-07 00:36:33,"*AKTION*_Opel_Astra_G_Coupe_1.8__79TKM__Schwarz_17""ALU_Wert_4900€",privat,Angebot,2500,test,coupe,2003,manuell,125,astra,80000,7,benzin,opel,nein,2016-04-07 00:00:00,0,10245,2016-04-07 00:36:33
171168,2016-03-28 22:43:31,Astra_mach_mir_Angebote_?,privat,Angebot,3250,control,kombi,2005,manuell,125,,5000,5,benzin,opel,nein,2016-03-28 00:00:00,0,48336,2016-03-30 14:45:38
271799,2016-03-22 16:25:19,Audi_A6_Avant_3.0_TDI_DPF_S_line_quattro_tiptronic,privat,Angebot,8900,test,kombi,2007,automatik,232,a6,150000,12,diesel,audi,nein,2016-03-22 00:00:00,0,60437,2016-04-06 15:44:13
60264,2016-03-24 09:54:17,Verkaufe_ein_Renault_Twingo__Tuev_Neu__,privat,Angebot,1500,control,kleinwagen,2000,manuell,58,twingo,150000,7,benzin,renault,nein,2016-03-24 00:00:00,0,32547,2016-03-24 10:46:00
193072,2016-03-22 08:52:12,Ford_Focus_Turnier_1.6_Ti_VCT_Titanium,privat,Angebot,12000,control,kombi,2012,manuell,105,focus,90000,6,benzin,ford,,2016-03-22 00:00:00,0,96215,2016-04-05 20:46:31
173900,2016-03-27 10:52:33,A_KLASSE_1_6_Benziner_mit_Motorschaden,privat,Angebot,350,control,,2016,manuell,0,a_klasse,150000,0,benzin,mercedes_benz,ja,2016-03-27 00:00:00,0,46414,2016-03-27 11:41:38
47723,2016-03-27 22:58:39,Sparsamer_Stadtflitzer_Seat_Arosa,privat,Angebot,950,test,kleinwagen,2001,manuell,50,arosa,150000,3,benzin,seat,nein,2016-03-27 00:00:00,0,93437,2016-04-06 07:45:01
323937,2016-03-30 16:54:18,Renault_Twingo_abzugeben_wegen_Neuanschaffung,privat,Angebot,3900,test,limousine,2011,manuell,75,twingo,90000,8,benzin,renault,nein,2016-03-30 00:00:00,0,57223,2016-04-07 08:16:44
346782,2016-04-02 08:21:36,328i_ci__TÜV_bis_02/2017_Festpreis_2500€,privat,Angebot,2700,control,coupe,1999,automatik,0,3er,150000,5,benzin,bmw,,2016-04-01 00:00:00,0,65201,2016-04-06 20:17:43
184587,2016-03-11 13:48:30,A_160_Automatik_mit_geringer_km_Leistung,privat,Angebot,3950,test,kleinwagen,2002,automatik,102,a_klasse,50000,12,benzin,mercedes_benz,nein,2016-03-11 00:00:00,0,7554,2016-03-14 10:17:38
153445,2016-03-14 13:51:41,Ford_Fiesta_1.6_Ti_VCT_Sport,privat,Angebot,8200,test,kleinwagen,2010,manuell,120,fiesta,90000,3,benzin,ford,nein,2016-03-14 00:00:00,0,86931,2016-03-16 03:45:10
149658,2016-03-14 17:37:57,BMW_530d,privat,Angebot,9850,test,limousine,2003,manuell,218,5er,150000,7,diesel,bmw,nein,2016-03-14 00:00:00,0,93057,2016-03-15 12:17:39
237486,2016-03-15 17:58:58,E36_Compact_Harlekin_Daily,privat,Angebot,400,control,coupe,1994,manuell,102,3er,150000,6,benzin,bmw,nein,2016-03-15 00:00:00,0,34379,2016-03-17 13:44:25
210231,2016-03-25 17:49:48,Volkswagen_Passat_Variant_2.0_TDI_Highline,privat,Angebot,8800,test,kombi,2005,manuell,140,passat,150000,6,diesel,volkswagen,nein,2016-03-25 00:00:00,0,4779,2016-04-06 23:16:08
207311,2016-03-10 14:54:10,Mercedes_Benz_C_240_4Matic,privat,Angebot,5500,test,limousine,2003,automatik,170,c_klasse,70000,7,benzin,mercedes_benz,nein,2016-03-10 00:00:00,0,51545,2016-03-17 23:15:52
131669,2016-03-20 11:57:32,Mitsubishi_Pajero_Pinin_1.8_Motion_4WD,privat,Angebot,3500,test,suv,2004,manuell,114,andere,150000,7,benzin,mitsubishi,nein,2016-03-20 00:00:00,0,17335,2016-03-20 11:57:32
275298,2016-04-04 19:45:46,Der_hingucker_auf_der_Strasse!,privat,Angebot,8000,test,,2005,manuell,120,1er,30000,12,,bmw,nein,2016-04-04 00:00:00,0,45731,2016-04-06 21:46:58
371137,2016-03-30 13:50:31,Hyundai_i30cw_1.4_Classic,privat,Angebot,7990,test,kombi,2011,manuell,109,i_reihe,80000,8,benzin,hyundai,nein,2016-03-30 00:00:00,0,94051,2016-04-07 04:44:50
91371,2016-03-19 19:51:54,Ab_in_den_Urlaub!,privat,Angebot,14950,control,bus,1997,manuell,102,transporter,150000,2,diesel,volkswagen,nein,2016-03-19 00:00:00,0,58285,2016-03-26 00:45:19
227037,2016-03-09 14:47:12,Audi_A6_3.0_Automatik_Facelift_Modell,privat,Angebot,1750,test,limousine,2001,automatik,220,a6,150000,9,benzin,audi,ja,2016-03-09 00:00:00,0,90765,2016-03-12 13:16:01
40613,2016-04-04 14:38:18,Fiat_Seicento_1.1,privat,Angebot,1949,test,kleinwagen,2002,manuell,54,seicento,125000,12,benzin,fiat,nein,2016-04-04 00:00:00,0,24879,2016-04-04 14:38:18
61820,2016-03-13 16:38:39,Beschreibung,privat,Angebot,7500,test,limousine,2003,automatik,224,e_klasse,150000,5,lpg,mercedes_benz,,2016-03-13 00:00:00,0,53721,2016-04-04 16:15:34
255567,2016-03-16 11:38:18,ich_biete_fuer_Bastler_/_zum_Ausschlachten_Opel_Corsa_B,privat,Angebot,200,test,kleinwagen,1996,manuell,60,corsa,150000,0,benzin,opel,ja,2016-03-16 00:00:00,0,29348,2016-03-28 04:45:10
112690,2016-04-03 22:50:01,Verkaufe_Golf_4_1.4l_Rentnerfahrzeug,privat,Angebot,1650,control,kleinwagen,1999,manuell,75,golf,125000,4,benzin,volkswagen,nein,2016-04-03 00:00:00,0,19395,2016-04-06 00:45:18
238058,2016-04-03 17:55:11,BMW_318i_Cabrio_*_Leder_*_elekt._Verdeck_*_GEPFLEGT_*_KAT_*,privat,Angebot,1799,test,cabrio,1994,manuell,116,3er,150000,10,benzin,bmw,nein,2016-04-03 00:00:00,0,44629,2016-04-05 18:17:45
91522,2016-03-17 22:57:40,Fiat_Giannini_500_TV_MonteCarlo___Bj._1968,privat,Angebot,18500,test,kleinwagen,1968,manuell,33,500,5000,3,benzin,fiat,nein,2016-03-17 00:00:00,0,71229,2016-04-05 20:18:53
163480,2016-03-07 21:38:39,Mercedes_Benz_E270_Automatik__Avantgarde_Vol_Leder,privat,Angebot,7200,control,limousine,2004,automatik,177,e_klasse,150000,12,diesel,mercedes_benz,nein,2016-03-07 00:00:00,0,90439,2016-03-26 12:16:19
234684,2016-03-23 15:41:38,Ford_Focus_Futura_Limousine,privat,Angebot,2999,test,limousine,2000,manuell,116,focus,80000,8,benzin,ford,nein,2016-03-23 00:00:00,0,22043,2016-03-29 09:47:21
111169,2016-03-30 16:45:25,Renault_Twingo_klein_und_Sparsam,privat,Angebot,180,test,kleinwagen,1997,manuell,0,,150000,5,benzin,renault,nein,2016-03-30 00:00:00,0,49504,2016-03-30 16:45:25
306331,2016-04-03 10:56:51,Opel_Astra_Coupe_2.2_16V_Top_Zustand,privat,Angebot,2699,control,coupe,2001,,147,astra,150000,3,benzin,opel,nein,2016-04-03 00:00:00,0,13585,2016-04-03 11:40:50
80404,2016-04-05 00:46:10,Volkswagen_Golf_2.0_GTI__Edition__Colour_Concept,privat,Angebot,950,control,limousine,1995,manuell,116,golf,150000,3,benzin,volkswagen,nein,2016-04-04 00:00:00,0,70839,2016-04-07 08:15:34
362782,2016-03-06 10:38:42,Passat_35i_1.8_90ps_Kombi_frisch_lackiert_!,privat,Angebot,99999999,test,,1995,,0,passat,150000,0,benzin,volkswagen,,2016-03-06 00:00:00,0,1809,2016-03-20 08:18:07
184344,2016-03-27 22:48:44,Volkswagen_Golf_2.0_R,privat,Angebot,23990,test,limousine,2011,manuell,271,golf,30000,9,benzin,volkswagen,nein,2016-03-27 00:00:00,0,31185,2016-03-27 23:43:12
116314,2016-03-10 19:44:07,Zum_verkaufen_Seat_Cordoba_Vario,privat,Angebot,1100,control,kombi,2002,manuell,75,cordoba,150000,5,benzin,seat,nein,2016-03-10 00:00:00,0,24791,2016-03-13 01:45:15
231986,2016-03-10 20:53:56,Verkaufe_Opel_Vectra_2.2_Kombi,privat,Angebot,1100,test,kombi,2004,manuell,155,vectra,150000,8,benzin,opel,ja,2016-03-10 00:00:00,0,87600,2016-03-15 16:18:14
29488,2016-03-29 21:06:20,Vectra__c.____1_9_cdti,privat,Angebot,2400,control,kombi,2004,manuell,118,vectra,150000,8,diesel,opel,,2016-03-29 00:00:00,0,35415,2016-04-04 11:16:58
6247,2016-03-16 23:55:57,Volkswagen_Golf,privat,Angebot,4700,test,kleinwagen,2007,manuell,140,golf,150000,8,diesel,volkswagen,nein,2016-03-16 00:00:00,0,18311,2016-03-20 07:46:38
260667,2016-03-13 09:41:23,BMW_525d_Touring_Aut.,privat,Angebot,6400,control,kombi,2004,automatik,177,5er,150000,12,diesel,bmw,nein,2016-03-13 00:00:00,0,85055,2016-03-30 02:45:52
109764,2016-03-18 12:48:08,320_d_~_M_PAKET_II,privat,Angebot,3000,control,limousine,2004,,0,3er,150000,0,diesel,bmw,,2016-03-18 00:00:00,0,51065,2016-03-18 12:48:08
8897,2016-03-26 16:37:16,Opel_Corsa_C,privat,Angebot,2350,control,kleinwagen,2002,manuell,75,corsa,80000,6,benzin,opel,nein,2016-03-26 00:00:00,0,71522,2016-04-06 04:45:16
184982,2016-03-23 20:50:12,Golf_4_+_zum__Aufbau_oder_Schlachtfest,privat,Angebot,1800,test,kleinwagen,2002,manuell,101,golf,150000,2,diesel,volkswagen,ja,2016-03-23 00:00:00,0,98724,2016-03-23 20:50:12
353481,2016-04-02 16:48:44,Ford_Mondeo_MK3_Ghia,privat,Angebot,1200,control,kombi,2001,manuell,125,mondeo,150000,12,,ford,nein,2016-04-02 00:00:00,0,33818,2016-04-06 16:15:41
56168,2016-03-25 17:51:01,Zum_aus_schlachten__oder_Teile_bedarf,privat,Angebot,0,test,kleinwagen,1990,manuell,55,golf,150000,1,benzin,volkswagen,,2016-03-25 00:00:00,0,26532,2016-03-28 17:45:21
157186,2016-03-17 00:49:54,Audi_A3_2.0_TDI_Sportback_Ambition_8_Fach_Bereift,privat,Angebot,7490,test,kombi,2005,manuell,140,a3,150000,6,diesel,audi,nein,2016-03-16 00:00:00,0,82229,2016-04-06 01:49:07
252130,2016-03-08 16:37:22,neu_tuev_ford_cougar,privat,Angebot,500,test,coupe,2000,manuell,170,andere,150000,9,benzin,ford,,2016-03-08 00:00:00,0,46325,2016-03-16 17:48:52
363470,2016-03-30 13:54:08,Alfa_Romeo_156_sport,privat,Angebot,499,test,limousine,1998,manuell,0,156,150000,1,benzin,alfa_romeo,,2016-03-30 00:00:00,0,12045,2016-03-30 13:54:08
99682,2016-03-21 22:44:49,Mercedes_Benz_C_250_Prime_Edition_Vollausstattung,privat,Angebot,16250,control,limousine,2008,manuell,204,c_klasse,125000,9,diesel,mercedes_benz,nein,2016-03-21 00:00:00,0,45711,2016-04-07 03:15:32
286371,2016-04-07 13:25:37,Seat_Ibiza_ST_1.6_TDI_CR_Style_mit_Klima,privat,Angebot,4900,control,kombi,2011,manuell,90,ibiza,150000,8,diesel,seat,nein,2016-04-07 00:00:00,0,65549,2016-04-07 13:25:37
238166,2016-04-03 22:54:10,Renault_Kangoo_5_Tuerig_Anhaenger_Kupplung._Tausch_gegen_Smart,privat,Angebot,1799,control,,2016,manuell,75,kangoo,150000,5,benzin,renault,nein,2016-04-03 00:00:00,0,30459,2016-04-06 22:36:37
21974,2016-03-17 10:36:43,Golf_150_tdi_Edition_4motion,privat,Angebot,1600,test,kleinwagen,2002,,0,golf,20000,0,diesel,volkswagen,,2016-03-17 00:00:00,0,51065,2016-03-17 10:36:43
152103,2016-03-25 18:48:25,Ford_Ka_Tuev_01.2018_Klima_/Alu/_Winterreifen_2.te__Hand,privat,Angebot,950,test,kleinwagen,2003,manuell,67,,150000,0,benzin,ford,nein,2016-03-25 00:00:00,0,27570,2016-03-27 06:45:18
245128,2016-03-27 13:46:22,Opel_Zafira_1.9_CDTI_Cosmo,privat,Angebot,3200,test,bus,2006,manuell,120,zafira,150000,7,diesel,opel,nein,2016-03-27 00:00:00,0,48432,2016-03-27 13:46:22
100279,2016-03-10 14:54:50,Volkswagen_Polo_50_Tuev_Neu,privat,Angebot,890,test,kleinwagen,1998,manuell,50,polo,150000,3,benzin,volkswagen,nein,2016-03-10 00:00:00,0,73054,2016-03-16 01:16:03
120100,2016-03-07 15:37:34,Audi_A6_1.8_T,privat,Angebot,1550,control,limousine,2000,manuell,150,a6,150000,2,benzin,audi,nein,2016-03-07 00:00:00,0,68535,2016-03-07 15:37:34
198586,2016-03-27 13:48:47,Honda_Civic_ED6_1.5_16V_TÜF_10/17,privat,Angebot,0,test,kleinwagen,1990,manuell,94,,125000,1,,honda,nein,2016-03-27 00:00:00,0,67731,2016-04-07 09:46:11
80544,2016-03-24 20:54:10,Audi_A3_2.0_TDI_Sportback_S_line_Sportpaket,privat,Angebot,26990,test,kombi,2013,manuell,150,a3,40000,8,diesel,audi,nein,2016-03-24 00:00:00,0,86381,2016-03-24 21:41:35
260960,2016-03-22 11:57:32,Mitsubishi_Colt__2te_Hand,privat,Angebot,179,control,kleinwagen,1999,manuell,75,colt,150000,3,benzin,mitsubishi,nein,2016-03-22 00:00:00,0,21365,2016-03-22 12:42:29
265996,2016-03-26 10:36:56,Opel_Corsa_1_2l_____top_zustand______Tausch_moeglich,privat,Angebot,530,test,kleinwagen,1996,manuell,75,corsa,150000,7,benzin,opel,,2016-03-26 00:00:00,0,10557,2016-03-26 11:44:26
113405,2016-03-05 15:50:45,Ford_KA_mit_Tuev_bis_Mai_16_VB,privat,Angebot,100,control,kleinwagen,2005,manuell,60,ka,100000,4,benzin,ford,,2016-03-05 00:00:00,0,96237,2016-03-05 15:50:45
213781,2016-03-22 08:51:09,"BMW__523i___""""""""8_Fach_Alu""""""""",privat,Angebot,1600,control,limousine,1997,manuell,170,5er,150000,8,benzin,bmw,nein,2016-03-22 00:00:00,0,89537,2016-03-29 10:45:06
37221,2016-03-12 09:57:30,Auto_Mercedes_A_Klasse_170_CDI_L,privat,Angebot,2100,control,,2005,manuell,95,a_klasse,150000,12,,mercedes_benz,,2016-03-12 00:00:00,0,50129,2016-03-13 01:44:52
180754,2016-03-07 14:59:13,Alfa_Romeo_156,privat,Angebot,150,control,,2016,manuell,120,156,100000,0,,alfa_romeo,,2016-03-07 00:00:00,0,88682,2016-03-09 19:15:47
63168,2016-03-24 13:52:44,Golf_2_Rat_look_TÜV_NEU_TOP_ZUSTAND_4_tuerer_mit_schiebedach,privat,Angebot,1250,control,limousine,1988,manuell,55,golf,125000,11,benzin,volkswagen,nein,2016-03-24 00:00:00,0,71665,2016-04-07 05:17:31
369605,2016-04-02 15:25:21,Volkswagen_Polo_/_Panoramadach_/_103tkm,privat,Angebot,1999,test,kleinwagen,2001,manuell,60,polo,125000,5,benzin,volkswagen,ja,2016-04-02 00:00:00,0,35440,2016-04-05 21:47:44
297847,2016-03-13 23:37:41,Honda_Civic_1.4i_mit_Tuev_10/16_und_Tuning,privat,Angebot,600,test,limousine,1997,manuell,90,civic,150000,12,benzin,honda,nein,2016-03-13 00:00:00,0,40723,2016-03-17 17:44:50
269569,2016-04-03 21:41:31,Audi_100_c4_rot_auf_Alufelgen_tuev_bis_juni_16,privat,Angebot,0,test,limousine,1991,manuell,116,100,150000,6,,audi,ja,2016-04-03 00:00:00,0,27798,2016-04-05 22:18:38
270579,2016-04-02 11:51:16,Audi_A4_1.8_Avant,privat,Angebot,2250,test,kombi,2000,manuell,125,a4,150000,6,,audi,,2016-04-02 00:00:00,0,86343,2016-04-06 09:46:06
137730,2016-03-16 01:00:25,Renault_laguna_dci,privat,Angebot,1800,test,kombi,2003,,120,laguna,30000,0,diesel,renault,nein,2016-03-15 00:00:00,0,77652,2016-04-05 23:45:33
182685,2016-03-29 11:53:32,Golf_5_GTI_DSG_zu_verkaufen_!_Vollausstattung_!_Notverkauf,privat,Angebot,8000,test,limousine,2005,automatik,200,golf,90000,6,benzin,volkswagen,ja,2016-03-29 00:00:00,0,59192,2016-03-31 04:46:05
232458,2016-03-26 18:37:59,BMW_120d,privat,Angebot,7499,test,limousine,2006,manuell,163,1er,150000,8,diesel,bmw,nein,2016-03-26 00:00:00,0,45770,2016-04-06 07:44:36
2532,2016-03-21 20:56:30,Audi_A4_Avant_Ambition_1.8TFSI_160PS_BiXenon_MMI_SDCard_Navi_LED,privat,Angebot,15150,control,kombi,2010,manuell,160,a4,90000,5,benzin,audi,nein,2016-03-21 00:00:00,0,57368,2016-04-07 00:44:41
77827,2016-03-22 14:38:55,Suche_einen_guenstigen_7_sitzer_Sharan_oder_Seat_Alhambra,privat,Angebot,0,control,andere,2000,,0,,5000,0,,sonstige_autos,,2016-03-22 00:00:00,0,59227,2016-03-28 03:47:00
118710,2016-03-26 09:45:33,307_cc_Cabrio_inkl._TÜV_unfallfrei,privat,Angebot,3000,control,cabrio,2005,manuell,135,3_reihe,150000,0,benzin,peugeot,nein,2016-03-26 00:00:00,0,53340,2016-03-31 03:17:37
362252,2016-03-28 15:54:41,MINI_Mini_Cooper_Cabrio,privat,Angebot,15555,control,cabrio,2012,manuell,122,cooper,40000,5,benzin,mini,nein,2016-03-28 00:00:00,0,97228,2016-04-06 20:46:46
169641,2016-03-10 17:57:00,Audi_A4__A4_Avant__Tuev_09/2017__Zahnriemen,privat,Angebot,2399,control,kombi,2001,manuell,125,a4,150000,6,benzin,audi,,2016-03-10 00:00:00,0,49479,2016-04-05 21:18:03
42187,2016-03-22 21:46:38,Renault_Scenic_RX4_1.9_dCi_Expression,privat,Angebot,950,control,bus,2002,manuell,102,scenic,150000,5,diesel,renault,nein,2016-03-22 00:00:00,0,31249,2016-03-24 06:15:36
